name,parent,value2,value
Origin,,,
Tenacious D (10.13.2001) #33,Origin,33,8
The Pick Of Destiny (12.2.2006) #8,Origin,8,33
Rize Of The Fenix (6.2.2012) #4,Origin,4,93
Post-Apocalypto (11.17.2018) #93,Origin,93,4
